"count","city","county","road","number","type","type2","area","area2","GeoJson"
11,"高雄市","岡山區","華崗段","651","特定農業區","農牧用地",1827,1827,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31440425749,22.82514709021],[120.31440590159,22.824916952462],[120.31451248796,22.824151097109],[120.31466922426,22.824170000639],[120.31453299048,22.825162227535],[120.31440425749,22.82514709021]]],[[[120.31440224521,22.824910784343],[120.31440106078,22.825147304321],[120.31436961498,22.825143523147],[120.31440224521,22.824910784343]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6510000,""ymax"":22.825162227535,""ymin"":22.824151097109,""xmax"":120.31466922426,""xmin"":120.31436961498,""xcenter"":120.31451941962,""ycenter"":22.824656662322}}]}"
12,"高雄市","岡山區","華崗段","652","特定農業區","農牧用地",1716,1716,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31453299048,22.825162227535],[120.31466922426,22.824170000639],[120.31481981989,22.824187966145],[120.31468235924,22.825179960046],[120.31453299048,22.825162227535]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6520000,""ymax"":22.825179960046,""ymin"":22.824170000639,""xmax"":120.31481981989,""xmin"":120.31453299048,""xcenter"":120.31467640518,""ycenter"":22.824674980343}}]}"
13,"高雄市","岡山區","華崗段","653","特定農業區","農牧用地",2491,2491,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31468235924,22.825179960046],[120.31481981989,22.824187966145],[120.31503576261,22.824213959896],[120.31489928788,22.825205730384],[120.31468235924,22.825179960046]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6530000,""ymax"":22.825205730384,""ymin"":22.824187966145,""xmax"":120.31503576261,""xmin"":120.31468235924,""xcenter"":120.31485906092,""ycenter"":22.824696848265}}]}"
14,"高雄市","岡山區","華崗段","654","特定農業區","農牧用地",2159,2159,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31489928788,22.825205730384],[120.31503576261,22.824213959896],[120.31522517488,22.824236421344],[120.31508649032,22.825227954653],[120.31489928788,22.825205730384]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6540000,""ymax"":22.825227954653,""ymin"":22.824213959896,""xmax"":120.31522517488,""xmin"":120.31489928788,""xcenter"":120.31506223138,""ycenter"":22.824720957275}}]}"
15,"高雄市","岡山區","華崗段","655","特定農業區","農牧用地",1937,1937,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31508649032,22.825227954653],[120.31522517488,22.824236421344],[120.31539296721,22.824256511012],[120.31525502242,22.825247819802],[120.31508649032,22.825227954653]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6550000,""ymax"":22.825247819802,""ymin"":22.824236421344,""xmax"":120.31539296721,""xmin"":120.31508649032,""xcenter"":120.31523972876,""ycenter"":22.824742120573}}]}"
16,"高雄市","岡山區","華崗段","656","特定農業區","農牧用地",1162,1162,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31525502242,22.825247819802],[120.31539296721,22.824256511012],[120.31549688507,22.824269034392],[120.31535722146,22.825260108033],[120.31525502242,22.825247819802]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6560000,""ymax"":22.825260108033,""ymin"":22.824256511012,""xmax"":120.31549688507,""xmin"":120.31525502242,""xcenter"":120.31537595375,""ycenter"":22.824758309523}}]}"
17,"高雄市","岡山區","華崗段","657","特定農業區","農牧用地",1771,1771,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31535722146,22.825260108033],[120.31549688507,22.824269034392],[120.31565092002,22.824287469623],[120.31551150444,22.825278316619],[120.31535722146,22.825260108033]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6570000,""ymax"":22.825278316619,""ymin"":22.824269034392,""xmax"":120.31565092002,""xmin"":120.31535722146,""xcenter"":120.31550407074,""ycenter"":22.824773675505}}]}"
18,"高雄市","岡山區","華崗段","658","特定農業區","農牧用地",1771,1771,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31551150444,22.825278316619],[120.31565092002,22.824287469623],[120.31580446339,22.824305902596],[120.31566529585,22.825296522945],[120.31551150444,22.825278316619]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6580000,""ymax"":22.825296522945,""ymin"":22.824287469623,""xmax"":120.31580446339,""xmin"":120.31551150444,""xcenter"":120.31565798392,""ycenter"":22.824791996284}}]}"
19,"高雄市","岡山區","華崗段","659","特定農業區","農牧用地",1827,1827,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31566529585,22.825296522945],[120.31580446339,22.824305902596],[120.3159646403,22.8243250475],[120.31582522922,22.825315439097],[120.31566529585,22.825296522945]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6590000,""ymax"":22.825315439097,""ymin"":22.824305902596,""xmax"":120.3159646403,""xmin"":120.31566529585,""xcenter"":120.31581496807,""ycenter"":22.824810670846}}]}"
20,"高雄市","岡山區","華崗段","660","特定農業區","農牧用地",2435,2435,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31582522922,22.825315439097],[120.3159646403,22.8243250475],[120.31617739022,22.824350570272],[120.31603847341,22.825340736338],[120.31582522922,22.825315439097]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6600000,""ymax"":22.825340736338,""ymin"":22.8243250475,""xmax"":120.31617739022,""xmin"":120.31582522922,""xcenter"":120.31600130972,""ycenter"":22.824832891919}}]}"
21,"高雄市","岡山區","華崗段","661","特定農業區","農牧用地",3288,3288,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31603847341,22.825340736338],[120.31617739022,22.824350570272],[120.31634641078,22.824370892079],[120.31644260667,22.825388499666],[120.31603847341,22.825340736338]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6610000,""ymax"":22.825388499666,""ymin"":22.824350570272,""xmax"":120.31644260667,""xmin"":120.31603847341,""xcenter"":120.31624054004,""ycenter"":22.824869534969}}]}"
22,"高雄市","岡山區","華崗段","662","特定農業區","農牧用地",2070,2070,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31644260667,22.825388499666],[120.31634641078,22.824370892079],[120.31648005612,22.824386732497],[120.31662953813,22.825169638499],[120.31665167456,22.825413322441],[120.31644260667,22.825388499666]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6620000,""ymax"":22.825413322441,""ymin"":22.824370892079,""xmax"":120.31665167456,""xmin"":120.31634641078,""xcenter"":120.31649904267,""ycenter"":22.82489210726}}]}"
23,"高雄市","岡山區","華崗段","663","特定農業區","水利用地",1669,757,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31634641078,22.824370892079],[120.31617739022,22.824350570272],[120.3159646403,22.8243250475],[120.31580446339,22.824305902596],[120.31565092002,22.824287469623],[120.31549688507,22.824269034392],[120.31539296721,22.824256511012],[120.31522517488,22.824236421344],[120.31503576261,22.824213959896],[120.31481981989,22.824187966145],[120.31466922426,22.824170000639],[120.31451248796,22.824151097109],[120.31441618475,22.824139745187],[120.31440979822,22.824138806242],[120.31441019578,22.824108501749],[120.31447234949,22.824116060893],[120.31460722223,22.824132136021],[120.3147418492,22.824148209978],[120.31498407997,22.824177051249],[120.31522606503,22.824205891097],[120.31547664791,22.824235906849],[120.31572845997,22.824265927487],[120.31584982138,22.824280348479],[120.31596970794,22.824294763047],[120.31621021973,22.824323367216],[120.31647480753,22.824354808707],[120.31648005612,22.824386732497],[120.31634641078,22.824370892079]]],[[[120.31214847713,22.823709558551],[120.31215560792,22.823709133602],[120.31216920785,22.823839987466],[120.31249815592,22.823879688661],[120.31308530148,22.82395035298],[120.31312559272,22.823954856133],[120.31336315233,22.823983679717],[120.31359850546,22.824011354115],[120.31368104995,22.824021280068],[120.31399280477,22.824058397606],[120.31420113266,22.824083220365],[120.314269674,22.82409149068],[120.31431635072,22.824097160345],[120.31440503717,22.824107795954],[120.31440463961,22.824138100446],[120.31431693295,22.824128152652],[120.31426927184,22.824122706615],[120.31420638071,22.824115144219],[120.31404202555,22.824095979569],[120.31383394463,22.8240709298],[120.31363642795,22.824047064599],[120.31354012604,22.824035484289],[120.31347134011,22.824026984742],[120.31334604511,22.824012772862],[120.31317260436,22.823991745237],[120.31302814762,22.823975171847],[120.31295100991,22.823965496738],[120.31279157136,22.823946352005],[120.31269330311,22.823934762705],[120.31254934041,22.823917735282],[120.31252428145,22.82391489277],[120.31250413756,22.823912299327],[120.31241741904,22.823901443291],[120.31214029805,22.823869713125],[120.31212149753,22.823697593041],[120.31212911994,22.823697170215],[120.31214707095,22.823695880514],[120.31214847713,22.823709558551]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6630000,""ymax"":22.824386732497,""ymin"":22.823695880514,""xmax"":120.31648005612,""xmin"":120.31212149753,""xcenter"":120.31430077683,""ycenter"":22.824041306505}}]}"
24,"高雄市","岡山區","華崗段","667","特定農業區","水利用地",911,291,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31667811552,22.825434855267],[120.31440416849,22.825164863388],[120.31440425749,22.82514709021],[120.31453299048,22.825162227535],[120.31468235924,22.825179960046],[120.31489928788,22.825205730384],[120.31508649032,22.825227954653],[120.31525502242,22.825247819802],[120.31535722146,22.825260108033],[120.31551150444,22.825278316619],[120.31566529585,22.825296522945],[120.31582522922,22.825315439097],[120.31603847341,22.825340736338],[120.31644260667,22.825388499666],[120.31665167456,22.825413322441],[120.31667648694,22.825416391118],[120.31667811552,22.825434855267]]],[[[120.3124742417,22.824921617213],[120.31239811011,22.824809406424],[120.31240193233,22.824782534719],[120.31249954894,22.824924005076],[120.31255408842,22.824930392786],[120.31264965572,22.8249415148],[120.31280909769,22.824960203978],[120.31288746844,22.824969200886],[120.31303266135,22.824986233328],[120.31320807326,22.825006586027],[120.31333385849,22.825021255877],[120.31340264605,22.825029527633],[120.31349796654,22.825040875943],[120.31369622548,22.82506406094],[120.31390455369,22.825089111982],[120.31406792677,22.825108272566],[120.31413032557,22.825116060772],[120.31417774121,22.825121505799],[120.31427699485,22.825132870575],[120.31436961498,22.825143523147],[120.31440106078,22.825147304321],[120.31440097063,22.82516530536],[120.31243583202,22.824933984102],[120.31242289779,22.824915243265],[120.3124742417,22.824921617213]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6670000,""ymax"":22.825434855267,""ymin"":22.824782534719,""xmax"":120.31667811552,""xmin"":120.31239811011,""xcenter"":120.31453811282,""ycenter"":22.825108694993}}]}"
25,"高雄市","岡山區","華崗段","668","特定農業區","交通用地",1763,539,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31671748453,22.825476495762],[120.31671551916,22.825476259467],[120.3144039882,22.825200865464],[120.31440416849,22.825164863388],[120.31667811552,22.825434855267],[120.31671447546,22.825439112796],[120.31671748453,22.825476495762]]],[[[120.31440097063,22.82516530536],[120.31440078578,22.825202218882],[120.31272970927,22.825007029839],[120.31263512403,22.824996139975],[120.31246487201,22.824976264645],[120.31243583202,22.824933984102],[120.31440097063,22.82516530536]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6680000,""ymax"":22.825476495762,""ymin"":22.824933984102,""xmax"":120.31671748453,""xmin"":120.31243583202,""xcenter"":120.31457665828,""ycenter"":22.825205239932}}]}"
26,"高雄市","岡山區","華崗段","669","特定農業區","水利用地",1029,327,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.3144039882,22.825200865464],[120.31671551916,22.825476259467],[120.31671748453,22.825476495762],[120.31672583765,22.825477443049],[120.31672794079,22.825499327226],[120.31669452946,22.825495310213],[120.31647072059,22.825468829188],[120.31614250135,22.825429822831],[120.3158833172,22.825398859687],[120.31573837037,22.825381603019],[120.31558384256,22.825363165731],[120.31542906898,22.825344727239],[120.31533251902,22.825333374794],[120.3152357244,22.825321793373],[120.31506719335,22.82530170034],[120.3149025931,22.825282079764],[120.31474339736,22.825263165861],[120.31460066202,22.825246145541],[120.31445055576,22.825228409779],[120.31440363284,22.825222739087],[120.3144039882,22.825200865464]]],[[[120.31274581394,22.825030797381],[120.31274556813,22.825030796321],[120.31272970927,22.825007029839],[120.31440078578,22.825202218882],[120.31440067509,22.825224321422],[120.31429577224,22.825212020944],[120.31417563585,22.825198287629],[120.31412085036,22.825191899411],[120.31405402803,22.82518386429],[120.31389065601,22.825164475827],[120.31372064823,22.82514483075],[120.31355162376,22.82512518973],[120.31345581158,22.825113839331],[120.3133595078,22.825102486757],[120.31321947449,22.825085932582],[120.3131231696,22.825074807727],[120.31296790398,22.825056592601],[120.31277357476,22.825034107248],[120.31274581394,22.825030797381]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6690000,""ymax"":22.825499327226,""ymin"":22.825007029839,""xmax"":120.31672794079,""xmin"":120.31272970927,""xcenter"":120.31472882503,""ycenter"":22.825253178532}}]}"
27,"高雄市","岡山區","華崗段","671","特定農業區","農牧用地",2429,2429,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31636022227,22.826281609577],[120.31638193466,22.826117866948],[120.31667715941,22.826118905547],[120.31665295595,22.826190807459],[120.31649103792,22.826224520695],[120.3163574102,22.826303244799],[120.31636022227,22.826281609577]]],[[[120.31647072059,22.825468829188],[120.31669452946,22.825495310213],[120.31673336276,22.82593981588],[120.31667473311,22.826112514887],[120.31638270624,22.826111034273],[120.31647072059,22.825468829188]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6710000,""ymax"":22.826303244799,""ymin"":22.825468829188,""xmax"":120.31673336276,""xmin"":120.3163574102,""xcenter"":120.31654538648,""ycenter"":22.825886036994}}]}"
28,"高雄市","岡山區","華崗段","672","特定農業區","農牧用地",3491,3491,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31631364145,22.826305791378],[120.31625192818,22.826406699128],[120.31601558817,22.826378796462],[120.31605205574,22.826115539711],[120.31608474911,22.826115680054],[120.31638193466,22.826117866948],[120.31636022227,22.826281609577],[120.31631364145,22.826305791378]]],[[[120.31614250135,22.825429822831],[120.31647072059,22.825468829188],[120.31638270624,22.826111034273],[120.31604839811,22.826109599488],[120.31614250135,22.825429822831]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6720000,""ymax"":22.826406699128,""ymin"":22.825429822831,""xmax"":120.31647072059,""xmin"":120.31601558817,""xcenter"":120.31624315438,""ycenter"":22.825918260979}}]}"
29,"高雄市","岡山區","華崗段","673","特定農業區","農牧用地",2851,2851,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31575590949,22.826348058823],[120.31578755902,22.826114404052],[120.31605205574,22.826115539711],[120.31601558817,22.826378796462],[120.31575590949,22.826348058823]]],[[[120.31614250135,22.825429822831],[120.31604839811,22.826109599488],[120.31578390369,22.826108008101],[120.3158833172,22.825398859687],[120.31614250135,22.825429822831]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6730000,""ymax"":22.826378796462,""ymin"":22.825398859687,""xmax"":120.31614250135,""xmin"":120.31575590949,""xcenter"":120.31594920542,""ycenter"":22.825888828074}}]}"
30,"高雄市","岡山區","華崗段","674","特定農業區","農牧用地",1584,1584,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31561047005,22.826330799904],[120.31564031483,22.826113999511],[120.31578755902,22.826114404052],[120.31575590949,22.826348058823],[120.31561047005,22.826330799904]]],[[[120.31573837037,22.825381603019],[120.3158833172,22.825398859687],[120.31578390369,22.826108008101],[120.31563764162,22.826107835642],[120.31573837037,22.825381603019]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6740000,""ymax"":22.826348058823,""ymin"":22.825381603019,""xmax"":120.3158833172,""xmin"":120.31561047005,""xcenter"":120.31574689363,""ycenter"":22.825864830921}}]}"
31,"高雄市","岡山區","華崗段","683","特定農業區","農牧用地",1637,1637,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31440199583,22.826187745153],[120.3144016498,22.826109585581],[120.31448399772,22.826109939918],[120.31447299639,22.826196025981],[120.31440199583,22.826187745153]]],[[[120.31445055576,22.825228409779],[120.31460066202,22.825246145541],[120.31447936946,22.826101488958],[120.31439972664,22.826100918393],[120.31440157041,22.825585493123],[120.31445055576,22.825228409779]]],[[[120.31432593887,22.826109259765],[120.31439255465,22.826109546443],[120.3143921484,22.826190665036],[120.31431525173,22.826181675199],[120.31432593887,22.826109259765]]],[[[120.31439651393,22.826104322559],[120.31432694724,22.82610425105],[120.31439910543,22.825586849713],[120.31439651393,22.826104322559]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6830000,""ymax"":22.826196025981,""ymin"":22.825228409779,""xmax"":120.31460066202,""xmin"":120.31431525173,""xcenter"":120.31445795688,""ycenter"":22.82571221788}}]}"
32,"高雄市","岡山區","華崗段","684","特定農業區","農牧用地",1637,1637,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31440363284,22.825222739087],[120.31445055576,22.825228409779],[120.31440157041,22.825585493123],[120.31440363284,22.825222739087]]],[[[120.31417107561,22.82610859321],[120.31432593887,22.826109259765],[120.31431525173,22.826181675199],[120.31431328635,22.826181438874],[120.31416293443,22.826163473901],[120.31417107561,22.82610859321]]],[[[120.31440067509,22.825224321422],[120.31439910543,22.825586849713],[120.31432694724,22.82610425105],[120.31417331306,22.826103589787],[120.31429577224,22.825212020944],[120.31440067509,22.825224321422]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6840000,""ymax"":22.826181675199,""ymin"":22.825212020944,""xmax"":120.31445055576,""xmin"":120.31416293443,""xcenter"":120.31430674509,""ycenter"":22.825696848072}}]}"
33,"高雄市","岡山區","華崗段","685","特定農業區","農牧用地",1320,1320,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31404325197,22.826108042924],[120.31417107561,22.82610859321],[120.31416293443,22.826163473901],[120.31416096906,22.826163237574],[120.31403641403,22.826148117921],[120.31404325197,22.826108042924]]],[[[120.31429577224,22.825212020944],[120.31417331306,22.826103589787],[120.31405138898,22.826103064903],[120.31417563585,22.825198287629],[120.31429577224,22.825212020944]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6850000,""ymax"":22.826163473901,""ymin"":22.825198287629,""xmax"":120.31429577224,""xmin"":120.31403641403,""xcenter"":120.31416609314,""ycenter"":22.825680880765}}]}"
